Sent,Nc-type,Nc-token,sentPrev,sentNC,sentPost,Source
19,hora baixo,horas baixas,"As súas perdas son dun 20%, que cede por radiación, mentres que o 80% restante é descargado mediante a turbina e pode ser regulado mediante termóstatos, tanto externos como internos no propio aparello.","Os problemas ligados pola produción da enerxía eléctrica e a súa dificultade de acumulación fai que nas horas baixas, ou vales, aquelas no que o consumo é mínimo, haxa que buscar alternativas para evitar que se apaguen as centrais térmicas responsables de proporcionar a base energética de calquera sistema de electroxeneración, en particular as centrais térmicas de tecnoloxía nuclear.",Unha das formas de lograr o obxectivo é o incentivar o consumo en horas vale para o que as compañías eléctricas establecen tarifas un 50% máis baratas que nas outras de consumo alto.,gl_cc-100
20,hora baixo,horas baixas,Europa Press,"Visto dende fóra, o ecoloxismo galego atravesa horas baixas, dos partidos mellor esquecer.","Tan só “Galiza non se vende” parece ter algo que dicir, en definitiva, unha plataforma cidadá aglutinadora de sensibilidades pero que ten diante un muro.",gl_cc-100
1,hora final,hora final,Inicio » Xuvenil » Xuvenil superiores » Liga Galega » Borrón e conta nova do Villalbés B para a vindeira semana,O Rácing Villalbés B segue sen puntuar a domicilio tras caer con claridade ante o Victoria B nun partido no que o dianteiro Gabri estivo baixo paus o cuarto de hora final trala expulsión de Nesi.,"Ata entón as sensacións xa non foran boas, polo que a mellor noticia ao descanso era o axustado un a cero co que terminou a primeira parte.",gl_cc-100
2,hora final,hora final,O cadro visitante deu o necesario pase á fronte e logrou desactivar os ataques celestes.,"O filial entrou no cuarto de hora final máis metido atrás, defendendo a súa valiosísima vantaxe.",Decreceu a falta de 10 minutos nunha contra pola esquerda da Cultural.,gl_cc-100
3,hora final,hora final,"Contratada en 1942 para traballar na cancillería, Junge entrou no círculo íntimo do Führer, e tamén se gañou a confianza de Eva Braun e de Magda Goebbels, coas que compartiu o inferno de Berlín en 1945.","En 2001, con 81 anos, publicou un libro ‘Ata a hora final’, que relata a súa experiencia, incluído o suicidio da familia Goebbels ao completo e o do matrimonio Hitler.",Non hai lugar para as dúbidas.,gl_cc-100
4,hora final,hora final,"Menos superviventes vían na pantalla os espectadores de The World, the Flesh and the Devil de Ranald MacDougall (1959): Mel Ferrer, Inger Stevens e o por diversas razóns admirábel Harry Belafonte.","Máis coñecida, e chea de estrelas, é On the Beach [La hora final] (Stanley Kramer, 1959, director de Inherit the wind).",Un filme estrañísimo no que logo dunha guerra nuclear a maior parte do planeta quedou arrasado e só queda xente viva en puntos illados do sur.,gl_cc-100
5,hora final,hora final,Camarinas.eu estivo presente nas fotos do adeus e unha impresionante oda de despedida do noso usuario Juan Camariñán.,"Durante máis de vintecinco anos este lexendario bar do barrio camariñán de Corea caracterizouse por acoller no seu seno un heteroxéneo grupo de persoas nas que predominaba, por encima de todalas cousas un sentimento de fidelidade absoluto cara o bar dos seus amores: trasnoitadores, mariñeiros de primeira hora, esforzados albañiles, algún que outro chiquitero profesional, e os funcionarios do concello, os cales non deixaron de cumprir co seu compromiso co Marcha Verde ata a súa agónica hora final.","Este bar exerceu de ""after hours"" de Camariñas cando aínda nin se inventara este tipo de discotecas, e os redactores de camarinas.eu, asiduos visitantes do ""Marcha"" a altas horas da madrugada, só teñen palabras de agradecemento cara Lola, a dona do bar, por toda a paciencia e comprensión que tivo con eles nesas horas fatales.",gl_cc-100
6,hora final,hora final,"Cun marcador tan favorable, o Outeiro deplegou o seu mellor fútbol.",Pechou as liñas de pase locais e permitiuse o luxo de sentenciar no cuarto de hora final.,Xoel aproveitou un erro defensivo para selar o billete dos azulóns para a final.,gl_cc-100
7,hora final,hora final,"Ese afán de construir de novo o relato cinematográfico provoca que na película, longa pero veloz, podan advertirse dúas partes: unha, cercana aos feitos que conclúe na nada; e a outra, a que protagoniza ese debuxante obsesivo que revisa punto por punto os camiños que parecen xa completamente esgotados pola policía.","O sorprendente é asistirmos á hora final da película cos elementos de resolución da trama outra vez intactos, como se voltaramos a ver a película, pero agora desde outra perspectiva, coa angustia de sabermos de novo sempre ao principio.","Exenta de calquera mensaxe moral, a película amósase como un exercicio extraordinario de narración cinematográfica pura, como un exemplo modélico de cómo hai que contar unha historia no ano 7 deste século XXI.",gl_cc-100
1,incendio forestal,incendios forestais,"Táboas de resultados do proceso de selección de 6 peóns forestais de brigadas para a prevención, vixilancia e defensa contra incendios forestais","Táboas de resultados da selección de 2 peóns forestais condutor de brigadas de prevención, vixilancia e defensa contra incendios forestais",Solicitude de permisos para as cacharelas de San Xoán,gl_cc-100
2,incendio forestal,incendios forestais,"Está dirixido a todos e todas os rapaces, rapazas e xoves dos seis Grupos Scouts da federación.","O concurso busca as mellores fotografías que mellor reflictan a relación entre os scouts e o medio natural galego, de cara a fomentar a nosa concienciación sobre a importancia da prevención dos incendios forestais.",2 reflexións sobre “¡Participa no I Concurso fotográfico!”,gl_cc-100
3,incendio forestal,incendios forestais,Nos últimos anos pechouse de xeito progresivo a metade dunha rede de cámaras fixa constituída por torretas de vixilancia.,"A vixilancia é o primeiro paso na extinción de incendios forestais, xa que a rapidez á hora de detectar o fogo é a base do éxito.",Os Vixilantes son os primeiros profesionais forestais en divisar o incendio.,gl_cc-100
4,incendio forestal,incendios forestais,"As organizacións convocantes están a denunciar que por parte da Dirección Xeral de Función Pública se persigue a división do persoal deste servizo creando un “persoal de primeira” con cobro de produtividades e outro de “segunda” con perda de garantías e condicións laborais, tamén se denuncia a intención de desmantelar este servizo público, aparte de criticar a imposición de uns servizos mínimos desmobilizadores e torticeiros que chegan ao 100%.","Débese ter en conta que este persoal ten entre os seus cometidos a coordinación técnica da extinción dos incendios forestais de Galiza, así como a xestión e o control do patrimonio forestal, mas tamén a custodia e control das especies en perigo de extinción e dos espazos naturais protexidos.","Encontrándonos, nestes momentos, en pleno período de perigo de se producir incendios forestais é de unha irresponsabilidade total por parte da Xunta de Galiza manter este conflito aberto, cando o persoal deste servizo ten manifestado a súa disponibilidade para chegar a acordos en base ás súas reivindicacións, xa que como denuncian desde o día 14 de xullo o Comité de Folga non recibiu ningunha proposta de xuntanza.",gl_cc-100
5,incendio forestal,incendios forestais,Cando o PP regresou á Xunta puxo fin ao modelo instaurado pola Consellería do Medio Rural do Goberno de coalición de PSdeG e BNG.,"Nesa etapa, baixo a dirección do ex-conselleiro Alfredo Suárez Canal, o departamento autonómico informaba os medios de comunicación e a cidadanía en xeral de todos os incendios forestais con partes diarios que detallaban o lugar exacto do foco e a superficie atinxida, entroutros datos.",Ao regresar á Xunta en 2009 o PP eliminou os partes cos que Medio Rural informaba dúas veces ao día de todos os incendios,gl_cc-100
6,incendio forestal,incendios forestais,"É un feito o abandono do bosque autóctono, a escasa produción de madeira de calidade das nosas árbores, e tamén a baixa produción de leña, mel, cogomelos, gandería en liberdade... A industria transformadora e derivada da madeira podería ser moi superior á actual e serviría para fixar poboación no medio agro-forestal galego se o modelo forestal mudase.","Neste artigo, analizamos tres aspectos do monte galego: o seu potencial madeireiro, o problema dos incendios forestais e o imparable avance do eucalipto.","Travesa de Basquiños, nº 9 baixo.",gl_cc-100
7,incendio forestal,incendios forestais,"O delegado do Goberno incidiu en que este ano tamén ""se van a intensificar"" os labores de ""prevención e vixilancia"", tanto dacabalo como a través de medios aéreos que ""facilitarán unha mobilidade que non permiten outros medios"" e accederán a lugares ""onde non poden entrar outros vehículos"".","O dispositivo, que cobre 185 concellos e presta especial atención a zonas de especial incidencia dos incendios forestais, xa se atopa en pleno rendemento e estará en funcionamento ata mediados de setembro, aínda que o delegado do Goberno confirmou que a súa presenza ""podería ampliarse"" se así o requiren as condicións climáticas.","Villanueva destacou a ""suma de esforzos"" entre distintas administracións (Estado e Xunta) para combater os incendios forestais, pero tamén reclamou a ""colaboración de todos os cidadáns"" para evitar ""que se produzan"" incendios e para ""apoiar as investigacións"" sobre a orixe dos lumes.",gl_cc-100
8,incendio forestal,incendios forestais,Clasificación das superficies incendiadas.,Comportamento do lume nos incendios forestais.,Proceso de combustión.,gl_cc-100
9,incendio forestal,incendios forestais,Mantemento de infraestruturas.,Sistemas de vixilancia preventiva e de detección de incendios forestais: obxectivos e características.,"Clasificación: vixilancia terrestre fixa e móbil, vixilancia aérea e outros sistemas.",gl_cc-100
10,incendio forestal,incendios forestais,Reproducimos un artigo publicado neste foro no ano 2013.,"Como non se fixo nada e todo segue igual, segue a estar, por desgraza, vixente: “En Converxencia 21 queremos amosar o noso profundo repudio polos incendios forestais que asoballan Galicia cada verán.","É inconcebible comprobar como, ano tras ano, temos que asistir á destrución progresivadun dos […]",gl_cc-100
11,incendio forestal,incendios forestais,Alerta laranxa por temperaturas que poderán acadar os 39 graos centígrados,2.300 efectivos da Garda Civil na loita contra os incendios forestais,A Policía Nacional desarticula unha banda do leste de Europa que operaba por toda Galicia,gl_cc-100
12,incendio forestal,incendios forestais,Dirixida a persoal funcionario e laboral e de cinco horas de duración,A Unión Local de Valdeorras da Confederación Intersindical Galega organizou este venres 22 de outubro unha xornada técnica de cinco horas de duración sobre a prevención de riscos asociados ás tarefas de prevención e extinción de incendios forestais.,A sesión formativa estaba dirixida a persoal funcionario e laboral.,gl_cc-100
13,incendio forestal,incendios forestais,"-O acceso a pé e a circulación de vehículos a motor, por persoal propio do parque natural, e unicamente pola pista existente na actualidade.",Excepcionalmente poderán acceder outros vehículos en casos de urxente necesidade como na extinción de incendios forestais.,"-A mellora, cando sexa necesario, da pista existente denominada do Figueiro e da devasa perimetral, sempre e cando iso non supoña ningún cambio nos seus trazados, dimensionamento ou capa de rodadura orixinal.",gl_cc-100
14,incendio forestal,incendios forestais,"O plenario contou coa participación do presidente de Honra, o presidente da Xunta de Galicia, Alberto Núñez Feijoo",A actividade comeza o día 18 de xaneiro coa celebración dunha xornada sobre un tema de actualidade como son os incendios forestais.,Será un coloquio ao que asistirán especialistas de Galicia e de Portugal.,gl_cc-100
15,incendio forestal,incendios forestais,O mes de febreiro foi o de maior actividade do GES con 59 intervencións.,O grupo brionés atendeu oito incendios forestais e o mesmo número en zonas urbanas.,Dous meses de intenso traballo,gl_cc-100
16,incendio forestal,incendios forestais,Anuncio co resultado final do proceso selectivo para a contratación de 4 peóns (unha/un delas/deles peón condutor) para a formación dunha brigada de incendios,"O departamento de Persoal fai público o anuncio co resultado final do proceso selectivo para a contratación de 4 peóns (unha/un delas/deles peón condutor) para a formación dunha brigada de prevención e extinción de incendios forestais do Concello de Ames, no verán de 2017.",© Concello de Ames,gl_cc-100
17,incendio forestal,incendios forestais,"Estes fondos permitirán xestionar algo máis de 6.700 hectáreas de monte a través de prácticas preventivas, de carácter local e a pequena escala, tales como rozas, clareos, claras e podas.","Estas actuacións permitirán crear descontinuidades verticais e horizontais da cuberta vexetal, así como un control selectivo de combustible, o cal redunda na prevención de incendios forestais.","Esta liña de actuación tamén permitirá levar a cabo plantacións puntuais de determinadas árbores, directamente vinculadas ao incremento dos valores ecolóxicos dos bosques.",gl_cc-100
18,incendio forestal,incendios forestais,Os sindicatos mobilízanse o mércores contra a precariedade laboral no servizo contraincendios,"Segundo os sindicatos, o modelo da Xunta de Galicia para a prevención de incendios forestais é «obsoleto».","O voceiro de CCOO, Carlos Hermida, foi máis aló e denunciou que a Administración autonómica mantén o servizo nun «abandono total».",gl_cc-100
1,leña verde,leña verde,"Ser traballador, de palabra e aforrador eran valores imprescindibles dunha familia pobre que loitase por saír adiante.","Vagos, incumpridores e gastadores eran fume, leña verde, homes de pouco proveito.","A ninguén se lle ocorría tirar da manta máis do que daba, e non só iso, se realmente había algún afán de progreso deberíanse aprender as artes de economizar, quitar de aquí e dalí, privándose, sacrificándose, para ir xuntando un mínimo aforro.",gl_cc-100
2,leña verde,leña verde,"Tamén dá xogo a mediación como dramatización alternativa da vivencia dun conflito: inventar o alternativo á labazada, a declaración de guerra ou á imprescindible intervención do Leviatán Hobbesiano.","A crítica maior que admite todo isto é precisamente a súa fraxilidade, a súa caducidade nun tempo onde a vida dos rapaces e rapazas “vai de paso”, na súa frescura de “leña verde …que todo e fume…”, vaia, como case todo en educación.",Nas primeiras xornadas no Neira Vilas,gl_cc-100
3,leña verde,leña verde,¿non somos xente nova?,"¡Pois veña, máis leña verde a ver se se ve ese fume!","E lembrade, quedamos hoxe nas Redes e nas Prazas!",gl_cc-100
4,leña verde,leña verde,"A pelexa entre as distintas familias peperas e a indolencia do goberno de Feijoo atrasando a resolución ditándoa fora de prazo, é outro motivo no que se pode apoia-la impugnación xudicial.","As supostas contrapartidas de inversión vai ser coma o fume que dá a leña verde; pra mostra vai chegar con Estela Eólica; a empresa vinculada ó PP, que fora constituída cun capital de tres mil euros e que se atopaba practicamente en quebra antes do concurso.","É Estela Eólica a que, supostamente, como contrapartida da adxudicación, ía construír unha planta de tratamento de lixo pra Galicia Sur.",gl_cc-100
5,leña verde,leña verde,"O primeiro paso era o calcinado, que consistía en formar unha pila de mineral e madeira que ardía entre seis e oito días.","Posteriormente esmiuzábase o mineral e enchíanse os fornos con capas alternas de carbón e mineral, tapadas con leña verde e carbón miúdo para producir unha combustión lenta.",Finalmente o ferro golpeábase có mazo para eliminar impurezas e darlle a forma axeitada.,gl_cc-100
6,leña verde,leña verde,"Mozos e mozas de Galicia, Extremadura, Castela, tras-os-Montes, Madrid e Italia... De seguro que será un éxito e unha boa oportunidade para falar de Arqueoloxía en foros abertos e críticos, como ten que ser.","Porque xa se sabe, xuventude e leña verde, todo é fume.","Blog creativo, relativista e multicultural do proxecto arqueolóxico dos Castros de Neixón (Boiro, A Coruña), dirixido polo Laboratorio de Arqueoloxía da Paisaxe do IEGPS (CSIC-XuGa).",gl_cc-100
7,leña verde,leña verde,Logo con pinzas a lume vivo arrincaron a lingua da súa boca.,"Finalmente, queimaron o seu corpo tembloroso nunha pira construída con leña verde.",IRMANDADE DE ODÍN: Si.,gl_cc-100
8,leña verde,leña verde,"A obra é un magnífico tratado de cultos praticados polos nosos antepasados e presentes nesas xuntanzas, tan destas datas, en torno ó animal lume.","Se acoden a un vello caseirón de granito e pizarra, para despedir a noite de San Silvestre, proben interpretar o alarido do can asilvestrado, o chirrido da leña verde queimándose, procuren a sombra do vello carballo á luz da lúa, non lles neguen calor ás ánimas tiritando de frío.","Pola miña parte, lavarei as miñas mans con augas santas que brotan de Santa María de Lieiro",gl_cc-100
9,leña verde,leña verde,Conseguir unha posición eficaz e común antóllase un milagre.,"Parece que somos conscientes de que non se pode seguir así un día máis, que de certo nesta se xoga o futuro, pero á volta da reunión definitiva reducida a fume de leña verde prorrógase a indefinición por meses e anos.",Esta insoportable inoperancia pode acabar con Europa.,gl_cc-100
10,leña verde,leña verde,Tamén na noite do 23 existe o rito de que as mulleres que se bañen na praia da Lanzada e reciban o impacto de nove olas aumentarán a súa fertilidade.,Hai anos tamén existía o costume de afumar o gando para protexelo das meigas e facer as fogueiras con leña verde para facer moito más fume e afastar os malos espíritos.,Se che apetece celebrar o San Xoán dun xeito tradicional en Galicia hai moitos sitios a onde ir.,gl_cc-100
11,leña verde,leña verde,"Pero agarrándose ao idea clave e facéndoa súa: o cambio non virá de inexpertos novatos, de ilusos, de falabaratos sen se curtir na dura tarefa de dar trigo.","O cambio ofrecido, dixeron e dirán, era fume de leña verde que o único que pode conseguir é nubrar a mirada, o bo criterio e o xuízo.",O cambio só é posible sen cambiar nada.,gl_cc-100
12,leña verde,leña verde,E todo sen que a penas nos decatemos ou mirando case todos sempre para o outro lado.,"Malia todo, eu gardo algunha esperanza de que a xa famosa xuíza de Lugo sexa algo máis que unha paridora de pleitos que nunca dan acabado ou que fiquen en leña verde.","Oxalá chegue a ser os nosos Giovanni Falcone ou Paolo Borsellino, sen necesidade de ter unha fin tan tráxica comas que tiveron os heroicos maxistrados sicilianos, xa que Baltasar Garzón non soubo ou non puido selo.",gl_cc-100
13,leña verde,leña verde,"A noite de Sanxoán é propia tamén para adiviñar o porvir, xeralmente en cuestións amorosas.","Chimpando por riba das fogueiras, feitas con leña verde para afumar ás bruxas, pódese saber o futuro.","As mozas e os mozos que salten ou ""salven"" a fogueira un número impar de veces, sen tocar o lume, casarán nun ano.",gl_cc-100
14,leña verde,leña verde,"Pero pese a todas as eivas, están escoitándose intervencións necesarias na comisión que contemplan o problema dende a súa complexidade e, xa na primeira sesión, quedou claro que non hai evidencias de ningunha trama.","A política contra os incendios de Feijoo é como a leña verde, todo fume.",O máis importante,gl_cc-100
15,leña verde,leña verde,"Realmente, trátase dunha rara avis; unha agrupación a punto de cumprir as vodas de prata que, malia estar no rural non sofre a falta de cativos.","Todo o contrario, ten leña verde de sobra e ben sustenta o alcume de Masía da música no rural galego.",A historia da BXB pode contarse de moitas maneiras.,gl_cc-100
16,leña verde,leña verde,"Xa ve vostede, para que digan que o que está en perigo é o castelán.","Pois si que lle vai doer o calo ese que lle pisaron, porque os argumentos presentados polos directores de Ferrol non son precisamente fume de leña verde.","Eu esocitei a Lastra falando pola radio e todo o que dixo pareceume moi comprensible, sensato e escrarecedor.",gl_cc-100
17,leña verde,leña verde,E Lalo trae madeira dos castiñeiros para dous invernos.,"E bueno secar, secaría, para iso tivo toda a primavera e o verán, aínda que a leña verde...","Antes de que a señorita terminase de pedir o seu postre, o Lalo xa estaba a pór cada unha das pezas de roupa que sacara.",gl_cc-100
18,leña verde,leña verde,"O único argumento que emprega Xosé María Vilaboa para insistir tercamente na instalación dun polígono industrial no Monte Pornedo é a súa palabra, que carece da máis absoluta credibilidade, toda vez que os técnicos da Xunta veñen de confirmar que este espazo non reúne as condicións necesarias para garantir a solvencia do proxecto.",A palabra grantilocuente de Vilaboa é fume de leña verde para intentar salvar os mobles ante o electorado.,"Aínda por riba de meter a pata cunha planificación de solo industrial errada e errática, o exconcelleiro de urbanismo intenta pescar en río revolto.",gl_cc-100
19,leña verde,leña verde,"De feito hai lugares, como Castrofeito (O Pino) ou Pedrouzo (Silleda), onde non se denominan fogueiras senón ""fumazos"".",Alí queiman sobre de todo leña verde que levanta un intenso fume co que se pretende espanta-las meigas e os seus meigallos.,"Tamén é común a crenza de que a auga, que lava tanto a sucidade como as enfermidades ou, en xeral, o Mal, alcanza nesta noite propiedades máxicas superiores ás que poida ter no resto do ano.",wiki
20,leña verde,leña verde,"Canto de impotencia é tamén o alegato de Stéphane Hessel que fai no seu libro “INDIGNÁDEVOS”, preto do final, ós seus 93 anos, na súa derradeira etapa.","Tanto Deolinda como Hessel, quero entender que se dirixen á leña verde que fumea indiferenza, que non teñen capacidade para a INDIGNACIÓN.","E ¿Que é de nos?, ¿da xeración que está entre Hessel e Deolinda, da xeración que se sacrificou para construír o Estado de Benestar e a xeración que vai a perdelo?.",gl_cc-100
1,ligazón morto,ligazóns mortas,"Se a fonte só existe en liña, debe darse a ligazón aínda que esta estea restrinxida baixo rexistro ou subscrición.","Para axudar a previr as ligazóns mortas, poden usarse identificadores persistentes para algúns tipos de fontes.","Algúns artigos científicos teñen un DOI, mentres que algúns xornais en liña e blogs teñen ligazóns permanentes que se manteñen estables.",wiki
2,ligazón morto,ligazóns mortas,"Como dis, Elisardojm, acho que os moitos artigos que ten problemas de referencia serían os máis interesantes para traballar.",Especialmente aqueles que o bot InternetArchiveBot detectou e marcou con ligazóns mortas.,Saúdos.--Castelao (conversa) 27 de novembro de 2018 ás 09:43 (UTC),gl_cc-100
3,ligazón morto,ligazóns mortas,"O tema é que moitas veces hai unha posible ligazón activa, pero a visión do contido é baixo suscrición.","Neste caso que normas se aplican antes, as restricións para ligazóns externas nos artigos ou o tratamento das ligazóns mortas?","Ou hai algún modelo/campo que permita indicar ""contido baixo suscrición"" para estes casos á carón do indicador ""ligazóns morta""?Grazas Maria zaos (conversa) 27 de xuño de 2018 ás 23:36 (UTC)",gl_cc-100
4,ligazón morto,ligazóns mortas,Feito!.,"Non obstante, atopei as mesmas ligazóns mortas noutros artigos que non aparecían nesa lista.",Tamén me poño con elas.,gl_cc-100
5,ligazón morto,ligazóns mortas,Isto resulta moi complicado ou imposible cunha URL baleira illada que non achega información adicional da fonte de información.,Outro método para previr as ligazóns mortas é o uso de servizos de arquivo web.,"Os dous servizos deste tipo máis populares e habitualmente empregados son Wayback Machine, e WebCite.",wiki
6,ligazón morto,ligazóns mortas,Ola a todos.,"Hoxe entrou en funcionamento o bot InternetArchiveBot, que se encarga de recuperar e marcar ligazóns mortas nos arquivos.",Tras as primeiras edicións de probas e un par de arranxos por parte do seu operador o bot xa está operativo con normalidade.,gl_cc-100
7,ligazón morto,ligazóns mortas,"Agás as URLs das seccións de non usadas para referenciar contido nos artigos, non se debe eliminar unha URL soamente polo feito de que non estea xa dispoñible.","Ó escribir e desenvolver un artigo, pódense previr as ligazóns mortas de varias formas.","A primeira forma é evitar as URLs baleiras, indicando o título, autor, editorial, data e calquera outra información relevante da fonte.",wiki
8,ligazón morto,ligazóns mortas,"Creo que xa non queda ningunha palabra en portugués, de feito revisei ata os ""thumb"", ""direita"" e os pasei a ""miniatura"" nas fotos.",Tamén revisei erros ortográficos nas referencias (agora vou procurar algunha das ligazóns mortas que hai).,Piquito (conversa) 20 de febreiro de 2014 ás 13:59 (UTC),gl_cc-100
9,ligazón morto,ligazóns mortas,Na Galipedia forma parte da sección ligazóns externas da entrada Eroge.,"Aínda que as recomendacións son non eliminar as ligazóns mortas, creo que neste caso eliminar estra entrada externa de vez sería o máis recomendable.",Que opinades?,wiki
10,ligazón morto,ligazóns mortas,"Na Galipedia, a Wikipedia en galego.","Esta páxina en resumo: As ligazóns mortas poden prexudicar as referencias, pero existen métodos dispoñibles para reducir ou reparar este tipo de problemas.",Non se debe eliminar información referenciada polo único motivo de que a URL da fonte non estea xa dispoñible.,gl_cc-100
11,ligazón morto,ligazóns mortas,Comentario.,Igual sería bo ter máis conta coas ligazóns mortas.,As dos artigos relacionados coa NHL xa supoñen un porcentaxe importante do total que ten a galipedia.,gl_cc-100
12,ligazón morto,ligazóns mortas,"Os pequenos grupos de editores contratados polos directorios comerciais non poden manterse ao día catalogando sitios, e a calidade e cantidade dos seus índices víronse deteriorados.","Estanse enchendo de ligazóns mortas, e non poden manter o ritmo de crecemento de Internet.","En vez de loitar contra o crecemento explosivo de Internet, o Open Directory proporciona os medios para que Internet se organíce a si mesma.",gl_cc-100
13,ligazón morto,ligazóns mortas,Non estaría mal que alguén con máis coñecementos de lingua ca min revisara a ortografía do artigo para solventar posibles (e provables) erros de lingua.,"Hai unhas poucas ligazóns mortas que eu non sei cómo indicar nas referencias (serán unhas 4 ou 5), se alguén mo pode indicar ou arranxar se agradece.","E como sempre, todo o que se vos ocorra que poda mellorar o artigo será benvido e farei o posible por solucionalo.",gl_cc-100
14,ligazón morto,ligazóns mortas,Existen servizos de arquivado web baixo demanda como WebCite ou Wayback Machine dispoñibles para isto.,"As ligazóns mortas deben repararse ou substituírse de ser posible, e non se debe eliminar unha referencia simplemente porque o seu enderezo URL deixe de funcionar.","Se un artigo carece de referencias, pódese marcar co modelo .",wiki
1,lingua galego,lingua galega,"Dentro destas últimas, o documento recolle medidas dirixidas aos tres elementos analizados, profesorado, alumnado e familias.","“É preciso dotar aos nenos e nas procedentes de familias castelanfalantes de referentes en lingua galega”, di, “traballar a conciencia metalingüística e aumentar así a resistencia ao cambio das nenas e nenos inicialmente galegofalantes”.","O Concello de Ames, cuxo salón de plenos acolleu esta cuarta feira a presentación de A lingua no CEIP Agro do Muíño, comprometeuse a “aproveitar esta información para seguir a traballar nesta dirección nos múltiples eidos en que ten capacidade de acción, desde a rede municipal de servizos educativos complementarios de conciliación ata as actividades deportivas e lúdicas dirixidas ao público máis novo”.",gl_cc-100
2,lingua galego,lingua galega,"O emprego do galego e do leonés no uso cotián ten sortes dispares, aínda que ambos gozaron dunha recente revitalización a través do labor de distintas asociacións que promoven o seu uso e estudo, sendo, o galego o máis favorecido, estendéndose o seu uso na súa zona de influencia, e o leonés continua tendo un uso moi limitado.","A lingua galega fálase e permítese o seu ensino regulado no occidente do Bierzo, así como na zona zamorana das Portelas, segundo un acordo entre a Consellería de Educación da Xunta de Galicia e a Consellería de Educación da Xunta de Castela e León.","No curso 2005-06 había 844 alumnos que estudaban o galego en 9 concellos bercianos, a cargo de 47 profesores, e no curso 2008-09 foron máis de 1.000 os alumnos que cursaron galego no Bierzo e As Portelas.",wiki
3,lingua galego,lingua galega,O artista Luis Davila volve tirar de ironía en xuño no calendario da Universidade de Vigo para 2017.,En 12 tiras sobre o galego presenta os doce meses do ano 2017 en doce tiras de humor que achegan unha reflexión sobre o uso da lingua galega.,A iniciativa corresponde á Área de Normalización Lingüistica da Universidade de Vigo e tamén está dispoñible en liña.,gl_cc-100
4,lingua galego,lingua galega,Todos e todas á unha coa lingua galega,Para poñer máis alta a lingua galega no twitter,"Despois da experiencia acumulada o pasado 6 de outubro, de novo intentamos colocar o hashtag #galega, nos trending topics de twitter.",gl_cc-100
5,lingua galego,lingua galega,"Resume o fundamental do galeguismo, dende os seus inicios e ofrece unha utopía galeguista.","Manuel Miragaia Doldán, nado na Coruña o 17 de xullo de 1958, é un escritor galego, Licenciado en Filosofía pura pola Universidade de Santiago de Compostela e diplomado en Maxisterio por Ciencias Sociais, é especialista en lingua galega e diplomado en galego pola Escola Oficial de Idiomas da Coruña.","Na actualidade, traballa como profesor no IES Cruceiro Baleares, en Culleredo.",gl_cc-100
6,lingua galego,lingua galega,Con ese aire inxenuo de non ir deixarvos nunca que teñen as estrelas…,"Igual atopas algo que che serve entre o que publico nesta web: principalmente poemas, relatos, artigos e traducións a lingua galega.","Se dás con algo do teu interese e consideras a opción de doar algunha cantidade -dende o que custa un té até o prezo dunha viaxe de turismo espacial- , podes facelo clicando aquí.",gl_cc-100
7,lingua galego,lingua galega,Os concellos de Manzaneda e Pobra de Trives puxeron en marcha un servizo lingüístico agrupado de ambos os municipios.,Esta iniciativa é froito dunha subvención da Secretaría Xeral de Política Lingüística para a promoción e uso da lingua galega.,A Consellería Cultura e Educación impulsa o galego no ámbito socioeconómico da man da Confederación de Empresarios de Galicia,gl_cc-100
8,lingua galego,lingua galega,"Na Galipedia, a Wikipedia en galego.","Ramón Lorenzo Vázquez, nado en Eirapedriña (Ames) o 16 de setembro de 1935, é un estudoso da lingua galega e da prosa medieval, catedrático de Lingüística e Literatura galegas na Universidade de Santiago de Compostela dende 1981 e membro da RAG desde 1999.",A súa tese titulada Traducción gallega de la Crónica General y de la Crónica de Castilla recibiu o premio extraordinario de doutoramento e constitúe unha referencia inescusable para o estudo da lingua medieval galega e portuguesa.,gl_cc-100
9,lingua galego,lingua galega,"En principio, o proxecto está dirixido ós alumnos dos centros de Ensino Medio e do Bacharelato de Galicia.","Neles preténdese involucrar tanto ós profesores de lingua galega coma os profesores de ciencias naturais, promovendo a comunicación entre as ramas do saber das Humanidades e das Ciencias Naturais.","Mais o proxecto tamén está aberto á colaboración de asociacións culturais, en xeral, ou de persoas interesadas en colaborar de xeito individual.",gl_cc-100
10,lingua galego,lingua galega,"Como salienta este texto, os responsables da Consellaría de Cultura e Educación, que mantén abertos múltiples conflitos xurídicos e administrativos, non poden continuar mudos.","O silencio sobre o que está sucedendo coa lingua galega nos centros de educación infantil urbanos, como en xeral en toda a rede de centros non universitarios, denunciado onte por Prolingua, corrompe a verdade e pon en perigo a liberdade lingüística de boa parte da cidadanía.",No décimo aniversario da aprobación do Plan xeral de normalizaicón da lingua galega este texto de Prolingua é oportunísimo.,gl_cc-100
